Real,Previsto
56,46.413605
60,54.445618
45,40.750267
49,40.27136
52,42.249416
33,30.518927
51,48.789925
34,22.81536
37,40.631184
25,24.331781
54,50.115475
42,38.089752
50,44.168354
27,28.998129
22,29.71637
57,47.039005
20,21.666147
29,35.574112
23,31.573051
38,41.196953
34,29.559076
21,27.84169
28,26.252132
36,34.643135
59,46.38264
43,47.550343
40,46.33151
46,46.40631
24,29.72677
33,39.357574
33,28.365282
20,31.212902
46,51.192276
34,32.9736
34,40.04108
40,41.47131
42,43.33611
58,60.404415
34,33.264698
59,58.483265
35,25.910873
26,33.376305
42,41.7515
42,32.454956
61,58.21397
40,43.815968
56,52.98297
61,50.41392
55,38.359203
27,40.905785
33,30.60839
49,50.544037
49,45.37202
37,39.02061
44,41.437553
30,35.000305
53,42.366188
67,60.880863
28,33.735092
59,54.73689
48,45.428856
50,44.02257
27,34.947746
37,42.393055
58,52.244583
40,38.493015
36,53.62203
39,40.67219
33,36.829296
49,44.53617
50,47.839123
50,52.90737
22,25.665958
41,46.803127
41,41.438137
29,22.73628
47,51.023853
35,41.040257
26,20.951778
44,30.622833
58,54.496853
36,34.177734
57,44.480686
54,40.558525
50,41.887325
30,35.916683
57,46.1513
43,37.857933
39,35.889652
33,37.28074
19,36.088688
58,50.706467
27,32.433865
23,45.64768
43,49.740925
57,53.28239
48,40.44154
42,37.24697
26,43.523594
25,42.43586
23,25.592653
43,41.838043
43,42.5602
62,56.180183
41,34.105164
15,22.96687
50,51.591118
32,27.643482
56,51.142105
33,28.550798
34,37.562702
52,45.72063
20,34.125362
39,36.270264
38,38.172718
64,52.567024
42,38.79283
58,45.095097
48,33.282032
33,29.54965
55,48.909447
42,46.560127
41,49.664803
48,42.195423
50,54.466766
25,29.840979
44,38.59871
19,28.84655
45,43.255096
53,46.7065
51,48.324364
43,33.077908
41,29.383293
52,54.73083
50,43.201534
41,47.294617
47,47.485588
43,32.026127
50,47.822205
43,35.135174
32,32.908653
44,46.692787
33,34.50894
30,40.84975
